iter	Passed	Remaining
579	41123	29779
580	41261	29756
581	41347	29696
582	41413	29621
583	41477	29545
584	41585	29500
585	41714	29470
586	41894	29476
587	41967	29406
588	42031	29329
589	42135	29280
590	42337	29299
591	42477	29274
592	42599	29237
593	42676	29169
594	42750	29098
595	42813	29021
596	42888	28951
597	42963	28882
598	43016	28797
599	43082	28721
600	43149	28646
601	43214	28570
602	43286	28498
603	43347	28419
604	43414	28345
605	43478	28268
606	43538	28189
607	43601	28111
608	43663	28033
609	43731	27959
610	43823	27900
611	43933	27853
612	44052	27811
613	44192	27782
614	44331	27752
615	44482	27729
616	44563	27662
617	44623	27582
618	44705	27516
619	44769	27439
620	44838	27365
621	44918	27297
622	44986	27223
623	45048	27144
624	45230	27138
625	45401	27125
626	45546	27095
627	45705	27073
628	45794	27010
629	45862	26935
630	45922	26854
631	45994	26781
632	46059	26704
633	46123	26626
634	46198	26555
635	46277	26485
636	46345	26410
637	46410	26333
638	46469	26252
639	46531	26173
640	46587	26091
641	46651	26014
642	46712	25935
643	46781	25860
644	46848	25784
645	46912	25707
646	46974	25628
647	47031	25548
648	47092	25468
649	47157	25392
650	47222	25316
651	47303	25247
652	47375	25175
653	47446	25101
654	47513	25026
655	47576	24948
656	47645	24874
657	47714	24800
658	47773	24720
659	47835	24642
660	47899	24565
661	47970	24492
662	48032	24414
663	48114	24347
664	48181	24271
665	48249	24197
666	48321	24124
667	48388	24049
668	48458	23975
669	48549	23912
670	48604	23831
671	48662	23751
672	48732	23678
673	48795	23601
674	48858	23524
675	48925	23449
676	49005	23380
677	49078	23308
678	49144	23233
679	49207	23156
680	49280	23084
681	49354	23012
682	49436	22944
683	49492	22864
684	49551	22786
685	49614	22709
686	49700	22643
687	49762	22566
688	49829	22492
689	49897	22417
690	49961	22341
691	50024	22265
692	50101	22195
693	50216	22141
694	50367	22103
695	50512	22062
696	50593	21993
697	50662	21919
698	50720	21841
699	50788	21766
700	50855	21691
701	50966	21635
702	51081	21580
703	51224	21537
704	51308	21469
705	51380	21396
706	51455	21324
707	51515	21246
708	51582	21171
709	51649	21096
710	51713	21019
711	51780	20944
712	51846	20869
713	51923	20798
714	51987	20722
715	52091	20661
716	52229	20615
717	52373	20570
718	52490	20514
719	52560	20440
720	52629	20365
721	52694	20289
722	52763	20215
723	52823	20137
724	52883	20059
725	52946	19982
726	53004	19904
727	53065	19826
728	53129	19750
729	53193	19674
730	53255	19597
731	53318	19521
732	53381	19444
733	53444	19368
734	53508	19292
735	53568	19214
736	53669	19151
737	53804	19101
738	53924	19044
739	54078	19000
740	54228	18954
741	54308	18883
742	54372	18807
743	54432	18729
744	54500	18654
745	54637	18603
746	54782	18554
747	54905	18497
748	55025	18439
749	55288	18429
750	55407	18370
751	55473	18294
752	55560	18225
753	55669	18162
754	55776	18099
755	55864	18030
756	55935	17955
757	56004	17880
758	56072	17804
759	56137	17727
760	56199	17650
761	56265	17573
762	56348	17502
763	56422	17428
764	56489	17353
765	56548	17274
766	56623	17201
767	56701	17128
768	56784	17057
769	56884	16991
770	57006	16931
771	57108	16866
772	57175	16790
773	57237	16712
774	57313	16639
775	57377	16562
776	57447	16487
777	57530	16416
778	57623	16347
779	57743	16286
780	57873	16228
781	58004	16170
782	58085	16097
783	58160	16023
784	58229	15948
785	58292	15871
786	58353	15793
787	58416	15716
788	58484	15640
789	58550	15564
790	58665	15500
791	58754	15430
792	58824	15355
793	58886	15277
794	58957	15202
795	59027	15127
796	59090	15050
797	59159	14975
798	59221	14898
799	59290	14822
800	59365	14748
801	59429	14672
802	59489	14594
803	59551	14517
804	59619	14441
805	59683	14365
806	59748	14289
807	59820	14214
